,index,date,amount,transaction_id,rate,flat_fee,product
47337,97727,30/11/2021 06:29:04,1825,pr_1638253743891195825,0.03,0.0,pr
47338,35527,02/09/2022 12:17:03,358,pos_1662121023079650358,0.01,2.0,pos
47339,140033,12/11/2022 18:04:54,1112,pp_1668276294050545112,0.025,2.0,pp
47340,31914,12/08/2022 13:03:13,188,pos_1660309393467614188,0.01,2.0,pos
47341,96501,07/11/2021 15:46:01,59,pr_1636299960960951059,0.03,0.0,pr
47342,54348,27/11/2022 11:36:34,275,pos_1669548993952580275,0.01,2.0,pos
47343,14643,18/03/2022 09:06:30,61,pos_1647594390152709061,0.01,2.0,pos
47344,77682,18/12/2022 18:38:06,403,pos_1671388686493124403,0.01,2.0,pos
47345,64016,27/10/2022 14:15:41,145,pos_1666880140659947145,0.01,2.0,pos
47346,23948,18/06/2022 15:55:03,205,pos_1655567702854681205,0.01,2.0,pos
47347,31094,07/08/2022 10:35:27,106,pos_1659868527465453106,0.01,2.0,pos
47348,96423,06/11/2021 03:09:52,991,pr_1636168191648130991,0.03,0.0,pr
47349,49304,08/11/2022 17:04:42,134,pos_1667927081501876134,0.01,2.0,pos
47350,27681,15/07/2022 01:23:19,176,pos_1657848198990303176,0.01,2.0,pos
47351,41841,05/10/2022 16:50:10,111,pos_1664988609803250111,0.01,2.0,pos
47352,93020,01/09/2021 13:50:49,1546,pr_1630504249425843546,0.03,0.0,pr
47353,122957,16/05/2021 11:05:39,301,pp_1621163139118664301,0.025,2.0,pp
47354,33541,22/08/2022 07:53:45,200,pos_1661154824897097200,0.01,2.0,pos
47355,35288,01/09/2022 04:09:51,80,pos_1662005390582362080,0.01,2.0,pos
47356,89262,17/06/2021 08:10:50,113,pr_1623917450232478113,0.03,0.0,pr
47357,76841,15/12/2022 16:04:06,177,pos_1671120245739969177,0.01,2.0,pos
47358,82585,17/01/2021 11:37:27,2093,pr_1610883446983218093,0.03,0.0,pr
47359,93551,10/09/2021 09:51:20,18123232323,pr_1631267479659125898,0.03,0.0,pr
47360,22856,09/06/2022 19:01:52,214,pos_1654801311936765214,0.01,2.0,pos
47361,66250,06/11/2022 17:56:05,52,pos_1667757364623972052,0.01,2.0,pos
47362,126529,20/11/2021 17:16:47,1889,pp_1637428606625719889,0.025,2.0,pp
47363,15354,27/03/2022 08:45:51,89,pos_1648370750960744089,0.01,2.0,pos
47364,115850,29/09/2022 08:25:44,1083,pr_1664439943918367083,0.03,0.0,pr
47365,136436,24/08/2022 07:00:10,530,pp_1661324409543034530,0.025,2.0,pp
47366,43591,14/10/2022 16:13:04,67,pos_1665763983957950067,0.01,2.0,pos
47367,132773,26/05/2022 16:29:18,53,pp_1653582558450914053,0.025,2.0,pp
47368,92692,25/08/2021 03:51:39,311,pr_1629863498571450311,0.03,0.0,pr
47369,118147,08/11/2022 08:46:10,1435,pr_1667897170367250435,0.03,0.0,pr
47370,49432,08/11/2022 08:25:03,123232323,pos_1667895903033158098,0.01,2.0,pos
47371,47071,29/10/2022 14:54:00,37,pos_1667055239705760037,0.01,2.0,pos
47372,67435,11/11/2022 04:45:00,245,pos_1668141899904028245,0.01,2.0,pos
47373,106646,04/05/2022 14:22:01,1439,pr_1651674120522372439,0.03,0.0,pr
47374,23067,10/06/2022 21:13:17,200,pos_1654895597480523200,0.01,2.0,pos
47375,117686,29/10/2022 13:56:06,142,pr_1667051765919037142,0.03,0.0,pr
47376,21011,24/05/2022 08:38:52,10,pos_1653381532258293010,0.01,2.0,pos
47377,77936,19/12/2022 11:48:33,324,pos_1671450513089826324,0.01,2.0,pos
47378,27822,17/07/2022 20:09:19,124,pos_1658088559234566124,0.01,2.0,pos
47379,108547,02/06/2022 14:42:44,349,pr_1654180963694609349,0.03,0.0,pr
47380,13223,27/02/2022 11:56:51,91,pos_1645963010786322091,0.01,2.0,pos
47381,52662,22/11/2022 13:38:56,72,pos_1669124335777693072,0.01,2.0,pos
47382,138532,06/10/2022 15:16:30,1168,pp_1665069390011619168,0.025,2.0,pp
47383,26121,04/07/2022 20:51:37,20,pos_1656967896877994020,0.01,2.0,pos
47384,71557,27/11/2022 09:44:57,189,pos_1669542297116872189,0.01,2.0,pos
47385,84410,28/02/2021 15:16:54,1334,pr_1614525414036572334,0.03,0.0,pr
47386,86139,09/04/2021 17:47:49,1905,pr_1617990468984309905,0.03,0.0,pr
47387,72847,02/12/2022 18:24:03,131,pos_1670005442712048131,0.01,2.0,pos
47388,129852,20/03/2022 07:58:45,622,pp_1647763125103831622,0.025,2.0,pp
47389,9262,25/12/2021 13:42:35,15,pos_1640439754727807015,0.01,2.0,pos
47390,127839,18/01/2022 01:51:49,831,pp_1642470708673999831,0.025,2.0,pp
47391,27360,13/07/2022 18:20:07,74,pos_1657736406696570074,0.01,2.0,pos
47392,35650,03/09/2022 17:55:07,297,pos_1662227707146899297,0.01,2.0,pos
47393,109744,21/06/2022 04:48:16,1954,pr_1655786896139422954,0.03,0.0,pr
47394,7943,29/11/2021 17:32:53,18,pos_1638207172691760018,0.01,2.0,pos
47395,65719,04/11/2022 11:16:31,21,pos_1667560591338066021,0.01,2.0,pos
47396,37479,13/09/2022 12:22:47,147,pos_1663071767040534147,0.01,2.0,pos
47397,94884,07/10/2021 07:16:18,711,pr_1633590978248994711,0.03,0.0,pr
47398,65365,02/11/2022 06:16:13,22,pos_1667369772888160022,0.01,2.0,pos
47399,32715,17/08/2022 20:18:01,118,pos_1660767481340258118,0.01,2.0,pos
47400,127282,23/12/2021 08:08:23,894,pp_1640246902852848894,0.025,2.0,pp
47401,92766,27/08/2021 15:15:25,121,pr_1630077325479623121,0.03,0.0,pr
47402,101212,04/02/2022 17:15:46,904,pr_1643994946090360904,0.03,0.0,pr
47403,100490,23/01/2022 12:43:02,187,pr_1642941781920633187,0.03,0.0,pr
47404,113663,23/08/2022 09:22:14,8,pr_1661246533558005008,0.03,0.0,pr
47405,57536,28/09/2022 09:06:04,182,pos_1664355964452333182,0.01,2.0,pos
47406,81289,29/12/2022 13:10:05,27,pos_1672319404967658027,0.01,2.0,pos
47407,123293,07/06/2021 06:42:37,430,pp_1623048156600928430,0.025,2.0,pp
47408,116917,16/10/2022 09:00:45,1427,pr_1665910845090549427,0.03,0.0,pr
47409,118741,18/11/2022 13:37:40,570,pr_1668778660264347570,0.03,0.0,pr
47410,5586,05/10/2021 05:10:02,232,pos_1633410602253138232,0.01,2.0,pos
47411,92883,29/08/2021 18:35:40,1554,pr_1630262140004810554,0.03,0.0,pr
47412,90011,02/07/2021 13:39:21,1516,pr_1625233160938840516,0.03,0.0,pr
47413,67619,12/11/2022 12:16:16,240,pos_1668255376315183240,0.01,2.0,pos
47414,114586,07/09/2022 11:50:27,549,pr_1662551427455639549,0.03,0.0,pr
47415,19611,11/05/2022 10:32:22,18,pos_1652265142275086018,0.01,2.0,pos
47416,17134,16/04/2022 05:32:57,63,pos_1650087177110664063,0.01,2.0,pos
47417,58428,02/10/2022 07:46:03,199,pos_1664696762596242199,0.01,2.0,pos
47418,130082,27/03/2022 04:25:15,556,pp_1648355115002788556,0.025,2.0,pp
47419,26959,10/07/2022 07:49:26,94,pos_1657439366239039094,0.01,2.0,pos
47420,51098,15/11/2022 10:40:09,176,pos_1668508808938754176,0.01,2.0,pos
47421,60519,12/10/2022 12:21:20,237,pos_1665577280389095237,0.01,2.0,pos
47422,139508,31/10/2022 16:22:39,756,pp_1667233359434258756,0.025,2.0,pp
47423,27927,17/07/2022 10:48:37,23,pos_1658054917029491023,0.01,2.0,pos
47424,6595,31/10/2021 08:33:32,152,pos_1635669211749442152,0.01,2.0,pos
47425,82986,26/01/2021 08:38:50,952,pr_1611650330464953952,0.03,0.0,pr
47426,49343,08/11/2022 11:23:54,112,pos_1667906634145629112,0.01,2.0,pos
47427,40250,28/09/2022 09:02:10,74,pos_1664355729983349074,0.01,2.0,pos
47428,117973,04/11/2022 10:53:30,343,pr_1667559210190285343,0.03,0.0,pr
47429,105113,10/04/2022 09:51:49,1824,pr_1649584309030958824,0.03,0.0,pr
47430,36187,06/09/2022 10:53:28,73,pos_1662461607803170073,0.01,2.0,pos
47431,51953,19/11/2022 02:53:58,244,pos_1668826437566718244,0.01,2.0,pos
47432,119706,06/12/2022 14:34:45,436,pr_1670337284572966436,0.03,0.0,pr
47433,6333,24/10/2021 15:43:16,101,pos_1635090196028795101,0.01,2.0,pos
47434,141684,23/12/2022 14:57:42,638,pp_1671807462253802638,0.025,2.0,pp
47435,13864,08/03/2022 16:47:27,86,pos_1646758046508383086,0.01,2.0,pos
47436,130589,09/04/2022 00:40:01,677,pp_1649464801500004677,0.025,2.0,pp
47437,90092,04/07/2021 18:57:33,270,pr_1625425052997545270,0.03,0.0,pr
47438,113580,22/08/2022 12:34:08,2092,pr_1661171648044585092,0.03,0.0,pr
47439,139841,07/11/2022 07:46:26,166,pp_1667807186093038166,0.025,2.0,pp
47440,40404,29/09/2022 06:58:33,186,pos_1664434713298861186,0.01,2.0,pos
47441,74237,06/12/2022 14:23:50,143,pos_1670336630406608143,0.01,2.0,pos
47442,132693,25/05/2022 08:15:18,1156,pp_1653466517808820156,0.025,2.0,pp
47443,48944,06/11/2022 16:27:54,106,pos_1667752073937322106,0.01,2.0,pos
47444,110382,02/07/2022 16:11:40,39,pr_1656778299584072039,0.03,0.0,pr
47445,50633,13/11/2022 05:02:50,307,pos_1668315770305629307,0.01,2.0,pos
47446,103138,10/03/2022 07:07:28,643,pr_1646896047779326643,0.03,0.0,pr
47447,3649,04/08/2021 16:00:04,156,pos_1628092804098633156,0.01,2.0,pos
47448,73378,04/12/2022 08:21:31,67,pos_1670142090996401067,0.01,2.0,pos
47449,57634,28/09/2022 11:50:59,5,pos_1664365859216970005,0.01,2.0,pos
47450,37963,16/09/2022 09:42:17,218,pos_1663321337288391218,,,pos
47451,85904,03/04/2021 15:45:53,480,pr_1617464752568408480,0.03,0.0,pr
47452,27495,14/07/2022 01:27:27,90,pos_1657762046918392090,0.01,2.0,pos
47453,76497,14/12/2022 12:18:00,163,pos_1671020279526176163,0.01,2.0,pos
47454,107885,23/05/2022 14:34:38,2061,pr_1653316478313885061,0.03,0.0,pr
47455,10979,24/01/2022 09:59:46,50,pos_1643018385797974050,0.01,2.0,pos
47456,9354,27/12/2021 04:49:59,81,pos_1640580599461487081,0.01,2.0,pos
47457,25856,02/07/2022 11:05:18,168,pos_1656759918133478168,0.01,2.0,pos
47458,139915,08/11/2022 14:52:42,1359,pp_1667919162333658359,0.025,2.0,pp
47459,30705,04/08/2022 20:01:57,158,pos_1659643316689888158,0.01,2.0,pos
47460,66105,05/11/2022 09:21:00,135,pos_1667640059507824135,0.01,2.0,pos
47461,10338,13/01/2022 09:33:30,7,pos_1642066409603778007,0.01,2.0,pos
47462,28377,20/07/2022 14:37:28,169,pos_1658327848389366169,0.01,2.0,pos
47463,102996,08/03/2022 22:59:43,532,pr_1646780382572518532,0.03,0.0,pr
47464,12387,14/02/2022 03:28:48,123232323,pos_1644809328057283098,0.01,2.0,pos
47465,99937,12/01/2022 09:21:53,1044,pr_1641979313013762044,0.03,0.0,pr
47466,70139,22/11/2022 07:52:48,94,pos_1669103568111018094,0.01,2.0,pos
47467,67350,11/11/2022 19:48:32,188,pos_1668196112035274188,0.01,2.0,pos
47468,44852,19/10/2022 02:10:31,36,pos_1666145430844183036,0.01,2.0,pos
47469,74473,07/12/2022 08:19:35,86,pos_1670401174704794086,0.01,2.0,pos
47470,20890,23/05/2022 09:54:29,12,pos_1653299669393334012,0.01,2.0,pos
47471,120097,12/12/2022 21:43:08,1219,pr_1670881387733267219,0.03,0.0,pr
47472,27564,15/07/2022 07:07:47,245,pos_1657868866658678245,0.01,2.0,pos
47473,117760,31/10/2022 16:36:45,102,pr_1667234205033340102,0.03,0.0,pr
